Minute,Close,ema8,ema20,side
2025-08-20 13:31:00+00:00,6422.0,6424.784795044707,6425.143347480501,SELL
2025-08-20 15:04:00+00:00,6370.75,6368.564861826973,6368.369394533865,BUY
2025-08-20 15:50:00+00:00,6391.75,6394.998145455308,6395.506247715188,SELL
2025-08-20 16:10:00+00:00,6395.25,6390.670406008856,6389.924666194261,BUY
2025-08-20 16:41:00+00:00,6399.75,6401.784228188219,6401.976907497643,SELL
2025-08-20 16:44:00+00:00,6403.75,6402.09532272779,6402.034673202283,BUY
2025-08-20 16:48:00+00:00,6399.0,6402.189204369673,6402.218330563885,SELL
2025-08-20 17:04:00+00:00,6402.25,6399.63913493554,6399.428238357051,BUY
2025-08-20 17:17:00+00:00,6396.5,6399.867053650912,6400.215016798347,SELL
2025-08-20 17:19:00+00:00,6402.25,6400.7220448011685,6400.541090848534,BUY
2025-08-20 17:25:00+00:00,6398.5,6400.387277889386,6400.690491262516,SELL
2025-08-20 17:31:00+00:00,6404.5,6400.846305340401,6400.5640677426445,BUY
2025-08-20 17:56:00+00:00,6405.75,6407.716797152496,6407.863438873211,SELL
2025-08-20 18:34:00+00:00,6396.25,6393.472695382465,6393.28686054286,BUY
2025-08-20 19:56:00+00:00,6415.25,6418.797369373274,6419.245470538411,SELL
